filename,size,uri,download_url
laa0020v.164.jpeg,null,atlas:pds3:clem:clementine:/cl_0036/extras/browse/lun164/laxxxxxx/laxxxxxv/laa0020v.164.jpeg,https://pds-imaging.jpl.nasa.gov/api/data/atlas:pds3:clem:clementine:/cl_0036/extras/browse/lun164/laxxxxxx/laxxxxxv/laa0020v.164.jpeg::0
laa0021v.164,230336,atlas:pds3:clem:clementine:/cl_0036/lun164/laxxxxxx/laxxxxxv/laa0021v.164,https://pds-imaging.jpl.nasa.gov/api/data/atlas:pds3:clem:clementine:/cl_0036/lun164/laxxxxxx/laxxxxxv/laa0021v.164::0
laa0021v.164.jpeg,null,atlas:pds3:clem:clementine:/cl_0036/extras/browse/lun164/laxxxxxx/laxxxxxv/laa0021v.164.jpeg,https://pds-imaging.jpl.nasa.gov/api/data/atlas:pds3:clem:clementine:/cl_0036/extras/browse/lun164/laxxxxxx/laxxxxxv/laa0021v.164.jpeg::0
laa0022v.164,230336,atlas:pds3:clem:clementine:/cl_0036/lun164/laxxxxxx/laxxxxxv/laa0022v.164,https://pds-imaging.jpl.nasa.gov/api/data/atlas:pds3:clem:clementine:/cl_0036/lun164/laxxxxxx/laxxxxxv/laa0022v.164::0
laa0022v.164.jpeg,null,atlas:pds3:clem:clementine:/cl_0036/extras/browse/lun164/laxxxxxx/laxxxxxv/laa0022v.164.jpeg,https://pds-imaging.jpl.nasa.gov/api/data/atlas:pds3:clem:clementine:/cl_0036/extras/browse/lun164/laxxxxxx/laxxxxxv/laa0022v.164.jpeg::0
laa0023v.164,230336,atlas:pds3:clem:clementine:/cl_0036/lun164/laxxxxxx/laxxxxxv/laa0023v.164,https://pds-imaging.jpl.nasa.gov/api/data/atlas:pds3:clem:clementine:/cl_0036/lun164/laxxxxxx/laxxxxxv/laa0023v.164::0
laa0023v.164.jpeg,null,atlas:pds3:clem:clementine:/cl_0036/extras/browse/lun164/laxxxxxx/laxxxxxv/laa0023v.164.jpeg,https://pds-imaging.jpl.nasa.gov/api/data/atlas:pds3:clem:clementine:/cl_0036/extras/browse/lun164/laxxxxxx/laxxxxxv/laa0023v.164.jpeg::0
laa0024v.164,230336,atlas:pds3:clem:clementine:/cl_0036/lun164/laxxxxxx/laxxxxxv/laa0024v.164,https://pds-imaging.jpl.nasa.gov/api/data/atlas:pds3:clem:clementine:/cl_0036/lun164/laxxxxxx/laxxxxxv/laa0024v.164::0
laa0024v.164.jpeg,null,atlas:pds3:clem:clementine:/cl_0036/extras/browse/lun164/laxxxxxx/laxxxxxv/laa0024v.164.jpeg,https://pds-imaging.jpl.nasa.gov/api/data/atlas:pds3:clem:clementine:/cl_0036/extras/browse/lun164/laxxxxxx/laxxxxxv/laa0024v.164.jpeg::0
laa0025v.164,230336,atlas:pds3:clem:clementine:/cl_0036/lun164/laxxxxxx/laxxxxxv/laa0025v.164,https://pds-imaging.jpl.nasa.gov/api/data/atlas:pds3:clem:clementine:/cl_0036/lun164/laxxxxxx/laxxxxxv/laa0025v.164::0
laa0025v.164.jpeg,null,atlas:pds3:clem:clementine:/cl_0036/extras/browse/lun164/laxxxxxx/laxxxxxv/laa0025v.164.jpeg,https://pds-imaging.jpl.nasa.gov/api/data/atlas:pds3:clem:clementine:/cl_0036/extras/browse/lun164/laxxxxxx/laxxxxxv/laa0025v.164.jpeg::0
laa0026v.164,230432,atlas:pds3:clem:clementine:/cl_0036/lun164/laxxxxxx/laxxxxxv/laa0026v.164,https://pds-imaging.jpl.nasa.gov/api/data/atlas:pds3:clem:clementine:/cl_0036/lun164/laxxxxxx/laxxxxxv/laa0026v.164::0
laa0026v.164.jpeg,null,atlas:pds3:clem:clementine:/cl_0036/extras/browse/lun164/laxxxxxx/laxxxxxv/laa0026v.164.jpeg,https://pds-imaging.jpl.nasa.gov/api/data/atlas:pds3:clem:clementine:/cl_0036/extras/browse/lun164/laxxxxxx/laxxxxxv/laa0026v.164.jpeg::0
laa0027v.164,230432,atlas:pds3:clem:clementine:/cl_0036/lun164/laxxxxxx/laxxxxxv/laa0027v.164,https://pds-imaging.jpl.nasa.gov/api/data/atlas:pds3:clem:clementine:/cl_0036/lun164/laxxxxxx/laxxxxxv/laa0027v.164::0
laa0027v.164.jpeg,null,atlas:pds3:clem:clementine:/cl_0036/extras/browse/lun164/laxxxxxx/laxxxxxv/laa0027v.164.jpeg,https://pds-imaging.jpl.nasa.gov/api/data/atlas:pds3:clem:clementine:/cl_0036/extras/browse/lun164/laxxxxxx/laxxxxxv/laa0027v.164.jpeg::0
laa0028v.164,230432,atlas:pds3:clem:clementine:/cl_0036/lun164/laxxxxxx/laxxxxxv/laa0028v.164,https://pds-imaging.jpl.nasa.gov/api/data/atlas:pds3:clem:clementine:/cl_0036/lun164/laxxxxxx/laxxxxxv/laa0028v.164::0
laa0028v.164.jpeg,null,atlas:pds3:clem:clementine:/cl_0036/extras/browse/lun164/laxxxxxx/laxxxxxv/laa0028v.164.jpeg,https://pds-imaging.jpl.nasa.gov/api/data/atlas:pds3:clem:clementine:/cl_0036/extras/browse/lun164/laxxxxxx/laxxxxxv/laa0028v.164.jpeg::0
